"","BPS_ID","EVT_ID","freq","acres","GROUPVEG","bps_acres","EVT_PHYS","evt_acres"
"1",1614,7238,853650,189847,"BPS  Hardwood",3235466,"EVT  Hardwood",649927
"2",1614,7239,273644,60857,"BPS  Hardwood",3235466,"EVT  Conifer-Hardwood",276742
"3",1614,7240,50348,11197,"BPS  Hardwood",3235466,"EVT  Hardwood",33752
"4",1614,7241,108041,24028,"BPS  Hardwood",3235466,"EVT  Conifer-Hardwood",86858
"5",1614,7242,10824,2407,"BPS  Hardwood",3235466,"EVT  Hardwood",8282
"6",1614,7243,1559,347,"BPS  Hardwood",3235466,"EVT  Conifer-Hardwood",2505
"7",1614,7295,11952,2658,"BPS  Hardwood",3235466,"EVT  Quarries-Strip Mines-Gravel Pits-Well and Wind Pads",9251
"8",1614,7296,159274,35422,"BPS  Hardwood",3235466,"EVT  Developed-Low Intensity",116930
"9",1614,7297,58110,12923,"BPS  Hardwood",3235466,"EVT  Developed-Medium Intensity",46889
"10",1614,7298,20786,4623,"BPS  Hardwood",3235466,"EVT  Developed-High Intensity",20824
"11",1614,7299,617533,137336,"BPS  Hardwood",3235466,"EVT  Developed-Roads",444910
"12",1614,7301,1895297,421504,"BPS  Hardwood",3235466,"EVT  Hardwood",1117376
"13",1614,7302,4528763,1007174,"BPS  Hardwood",3235466,"EVT  Hardwood",1403892
"14",1614,7310,14774,3286,"BPS  Hardwood",3235466,"EVT  Hardwood",49771
"15",1614,7311,7280,1619,"BPS  Hardwood",3235466,"EVT  Hardwood",12646
"16",1614,7313,4514,1004,"BPS  Hardwood",3235466,"EVT  Hardwood",12533
"17",1614,7362,335213,74550,"BPS  Hardwood",3235466,"EVT  Conifer",418108
"18",1614,7366,102876,22879,"BPS  Hardwood",3235466,"EVT  Conifer",168735
"19",1614,7395,219,49,"BPS  Hardwood",3235466,"EVT  Hardwood",4408
"20",1614,7407,113933,25338,"BPS  Hardwood",3235466,"EVT  Conifer",67551
"21",1614,7409,2,0,"BPS  Hardwood",3235466,"EVT  Grassland",4
"22",1614,7412,31,7,"BPS  Hardwood",3235466,"EVT  Grassland",72
"23",1614,7466,63,14,"BPS  Hardwood",3235466,"EVT  Riparian",8303
"24",1614,7481,66853,14868,"BPS  Hardwood",3235466,"EVT  Riparian",1324313
"25",1614,7905,160437,35680,"BPS  Hardwood",3235466,"EVT  Developed",90692
"26",1614,7906,47017,10456,"BPS  Hardwood",3235466,"EVT  Developed",57168
"27",1614,7907,39887,8871,"BPS  Hardwood",3235466,"EVT  Developed",34311
"28",1614,7908,148522,33031,"BPS  Hardwood",3235466,"EVT  Developed",91154
"29",1614,7909,54166,12046,"BPS  Hardwood",3235466,"EVT  Developed",31250
"30",1614,7925,33421,7433,"BPS  Hardwood",3235466,"EVT  Developed",17852
"31",1614,7926,16129,3587,"BPS  Hardwood",3235466,"EVT  Developed",16062
"32",1614,7927,11796,2623,"BPS  Hardwood",3235466,"EVT  Developed",9282
"33",1614,7928,864,192,"BPS  Hardwood",3235466,"EVT  Developed",646
"34",1614,7929,15655,3482,"BPS  Hardwood",3235466,"EVT  Developed",9711
"35",1614,7970,420514,93520,"BPS  Hardwood",3235466,"EVT  Agricultural",114076
"36",1614,7971,3486,775,"BPS  Hardwood",3235466,"EVT  Agricultural",820
