Past,EVT,ACRES
Past Conifer,Agricultural,149755
Past Conifer,Conifer,267445
Past Conifer,Conifer-Hardwood,77259
Past Conifer,Developed,125447
Past Conifer,Exotics,25624
Past Conifer,Grassland,177
Past Conifer,Hardwood,262874
Past Conifer,Riparian,46117
Past Hardwood,Agricultural,1000079
Past Hardwood,Conifer,367584
Past Hardwood,Conifer-Hardwood,189030
Past Hardwood,Developed,410252
Past Hardwood,Exotics,116145
Past Hardwood,Grassland,1055
Past Hardwood,Hardwood,1807278
Past Hardwood,Riparian,56767
Past Hardwood-Conifer,Agricultural,411672
Past Hardwood-Conifer,Conifer,881790
Past Hardwood-Conifer,Conifer-Hardwood,212662
Past Hardwood-Conifer,Developed,415748
Past Hardwood-Conifer,Exotics,92491
Past Hardwood-Conifer,Grassland,1046
Past Hardwood-Conifer,Hardwood,1058413
Past Hardwood-Conifer,Riparian,90568
Past Riparian,Agricultural,49074
Past Riparian,Conifer,183797
Past Riparian,Conifer-Hardwood,11072
Past Riparian,Developed,45479
Past Riparian,Exotics,18406
Past Riparian,Grassland,293
Past Riparian,Hardwood,164027
Past Riparian,Riparian,1563496
