Past,EVT,ACRES
Past Laurentian Pine-Oak Barrens,Laurentian Jack Pine-Red Pine Forest,238968
Past Laurentian Pine-Oak Barrens,Northern Pine-(Oak) Forest,213958
Past Laurentian Pine-Oak Barrens,Northeastern North American Temperate Forest Plantation,121572
Past Laurentian Pine-Oak Barrens,Laurentian-Acadian Sub-boreal Aspen-Birch Forest,84755
Past Laurentian Pine-Oak Barrens,Ag and roads,60678
Past Laurentian Pine-Oak Barrens,Northern & Central Ruderal Meadow,32836
Past Laurentian Pine-Oak Barrens,Laurentian-Acadian Northern Hardwoods Forest,18645
Past Boreal Jack Pine-Black Spruce Forest-Pine Barrens,Northern Pine-(Oak) Forest,110514
Past Boreal Jack Pine-Black Spruce Forest-Pine Barrens,Laurentian Jack Pine-Red Pine Forest,45119
Past Boreal Jack Pine-Black Spruce Forest-Pine Barrens,Laurentian-Acadian Sub-boreal Aspen-Birch Forest,40585
Past Boreal Jack Pine-Black Spruce Forest-Pine Barrens,Ag and roads,21200
Past Boreal Jack Pine-Black Spruce Forest-Pine Barrens,Laurentian-Acadian Northern Hardwoods Forest,21183
Past Boreal Jack Pine-Black Spruce Forest-Pine Barrens,Northeastern North American Temperate Forest Plantation,20394
Past Boreal Jack Pine-Black Spruce Forest-Pine Barrens,Laurentian-Acadian Pine-Hemlock Forest,7823
Past Laurentian Pine-Oak Barrens-Jack Pine,Northern Pine-(Oak) Forest,37772
Past Laurentian Pine-Oak Barrens-Jack Pine,Laurentian Jack Pine-Red Pine Forest,16570
Past Laurentian Pine-Oak Barrens-Jack Pine,Laurentian-Acadian Sub-boreal Aspen-Birch Forest,9903
Past Laurentian Pine-Oak Barrens-Jack Pine,Northeastern North American Temperate Forest Plantation,9738
Past Laurentian Pine-Oak Barrens-Jack Pine,Ag and roads,6963
Past Laurentian Pine-Oak Barrens-Jack Pine,Laurentian-Acadian Pine-Hemlock Forest,2924
Past Laurentian Pine-Oak Barrens-Jack Pine,Laurentian-Acadian Northern Hardwoods Forest,2268
Past Laurentian-Acadian Northern Pine(-Oak) Forest,Northern Pine-(Oak) Forest,373749
Past Laurentian-Acadian Northern Pine(-Oak) Forest,Laurentian-Acadian Sub-boreal Aspen-Birch Forest,189142
Past Laurentian-Acadian Northern Pine(-Oak) Forest,Ag and roads,172652
Past Laurentian-Acadian Northern Pine(-Oak) Forest,Laurentian-Acadian Northern Hardwoods Forest,172275
Past Laurentian-Acadian Northern Pine(-Oak) Forest,Northeastern North American Temperate Forest Plantation,109486
Past Laurentian-Acadian Northern Pine(-Oak) Forest,Laurentian Jack Pine-Red Pine Forest,96454
Past Laurentian-Acadian Northern Pine(-Oak) Forest,Northern & Central Ruderal Meadow,31988
Past Laurentian-Acadian Pine-Hemlock-Hardwood Forest,Ag and roads,303266
Past Laurentian-Acadian Pine-Hemlock-Hardwood Forest,Laurentian-Acadian Sub-boreal Aspen-Birch Forest,139219
Past Laurentian-Acadian Pine-Hemlock-Hardwood Forest,Northern Pine-(Oak) Forest,77852
Past Laurentian-Acadian Pine-Hemlock-Hardwood Forest,Laurentian-Acadian Northern Hardwoods Forest,52199
