"","model_label","Model_Code","refLabel","refPercent","BpS_Name","Var1","Var2","Freq","LABEL.x","LABEL.y","BPS_CODE","ZONE","total_count","currentPercent"
"1","13022_41_50_51_A","13022_41_50_51","A",2,"Laurentian-Acadian Northern Hardwoods Forest - Hemlock",1614,1,427,"A","A",13022,51,14548308,0
"2","13022_41_50_51_A","13022_41_50_51","A",2,"Laurentian-Acadian Northern Hardwoods Forest - Hemlock",1615,1,52,"A","A",13022,51,2163105,0
"3","13022_41_50_51_B","13022_41_50_51","B",4,"Laurentian-Acadian Northern Hardwoods Forest - Hemlock",1614,2,129578,"B","B",13022,51,14548308,0
"4","13022_41_50_51_B","13022_41_50_51","B",4,"Laurentian-Acadian Northern Hardwoods Forest - Hemlock",1615,2,13055,"B","B",13022,51,2163105,0
"5","13022_41_50_51_C","13022_41_50_51","C",14,"Laurentian-Acadian Northern Hardwoods Forest - Hemlock",1614,3,887366,"C","C",13022,51,14548308,6
"6","13022_41_50_51_C","13022_41_50_51","C",14,"Laurentian-Acadian Northern Hardwoods Forest - Hemlock",1615,3,23231,"C","C",13022,51,2163105,1
"7","13022_41_50_51_D","13022_41_50_51","D",76,"Laurentian-Acadian Northern Hardwoods Forest - Hemlock",NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","13022_41_50_51_E","13022_41_50_51","E",4,"Laurentian-Acadian Northern Hardwoods Forest - Hemlock",1614,5,5624620,"E","E",13022,51,14548308,38
"9","13022_41_50_51_E","13022_41_50_51","E",4,"Laurentian-Acadian Northern Hardwoods Forest - Hemlock",1615,5,588956,"E","E",13022,51,2163105,27
"10","13022_41_50_51_Agriculture","13022_41_50_51","Agriculture",0,"Laurentian-Acadian Northern Hardwoods Forest - Hemlock",1614,180,3074754,"Agriculture","Agriculture",13022,51,14548308,21
"11","13022_41_50_51_Agriculture","13022_41_50_51","Agriculture",0,"Laurentian-Acadian Northern Hardwoods Forest - Hemlock",1615,180,819172,"Agriculture","Agriculture",13022,51,2163105,37
"12","13022_41_50_51_Developed","13022_41_50_51","Developed",0,"Laurentian-Acadian Northern Hardwoods Forest - Hemlock",1614,120,1399037,"Developed","Developed",13022,51,14548308,9
"13","13022_41_50_51_Developed","13022_41_50_51","Developed",0,"Laurentian-Acadian Northern Hardwoods Forest - Hemlock",1615,120,247201,"Developed","Developed",13022,51,2163105,11
"14","13022_41_50_51_Water","13022_41_50_51","Water",0,"Laurentian-Acadian Northern Hardwoods Forest - Hemlock",NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","13022_41_50_51_UN","13022_41_50_51","UN",0,"Laurentian-Acadian Northern Hardwoods Forest - Hemlock",1614,6,2024647,"UN","UN",13022,51,14548308,13
"16","13022_41_50_51_UN","13022_41_50_51","UN",0,"Laurentian-Acadian Northern Hardwoods Forest - Hemlock",1615,6,333546,"UN","UN",13022,51,2163105,15
"17","13022_41_50_51_UE","13022_41_50_51","UE",0,"Laurentian-Acadian Northern Hardwoods Forest - Hemlock",1614,7,1407879,"UE","UE",13022,51,14548308,9
"18","13022_41_50_51_UE","13022_41_50_51","UE",0,"Laurentian-Acadian Northern Hardwoods Forest - Hemlock",1615,7,137892,"UE","UE",13022,51,2163105,6
"19","13100_51_A","13100_51","A",3,"North-Central Interior Dry-Mesic Oak Forest and Woodland",1617,1,74,"A","A",13100,51,172883,0
"20","13100_51_B","13100_51","B",7,"North-Central Interior Dry-Mesic Oak Forest and Woodland",1617,2,1,"B","B",13100,51,172883,0
