"","TransitionGroupID","Model_Code","annual_probability","BpS_Name","VALUE","BLUE","ACRES","REL_PERCENT","annual_dist_acres"
"1","All Fire","13022_41_50_51",0.000486,"Laurentian-Acadian Northern Hardwoods Forest - Hemlock",1614,0,3235466,32,1572.436476
"2","All Fire","13022_41_50_51",0.000486,"Laurentian-Acadian Northern Hardwoods Forest - Hemlock",1615,0.588235,481063,4.8,233.796618
"3","All Fire","13100_51",0.1077534,"North-Central Interior Dry-Mesic Oak Forest and Woodland",1617,0.870588,38448,0.4,4142.9027232
"4","All Fire","13110_51",0.11053,"North-Central Interior Dry Oak Forest and Woodland",1618,0.560784,3124,0,345.29572
"5","All Fire","13130_47_50_51",0.0022416,"North-Central Interior Beech-Maple Forest",1619,0.172549,161813,1.6,362.7200208
"6","All Fire","13441_51",0.1932342,"Boreal Jack Pine-Black Spruce Forest - Pine Barrens",1620,0.54902,311502,3.1,60192.8397684
"7","All Fire","13442_51",0.0091302,"Boreal Jack Pine-Black Spruce Forest - Spruce-Fir",1621,0.447059,8202,0.1,74.8859004
"8","All Fire","13620_51_63_64_65_66",0.0205164,"Laurentian-Acadian Northern Pine(-Oak) Forest",1622,0.74902,1449363,14.3,29735.7110532
"9","All Fire","13651_51",0.0039598,"Boreal White Spruce-Fir-Hardwood Forest - Inland",1623,0.447059,332238,3.3,1315.5960324
"10","All Fire","13652_51",0.0018992,"Boreal White Spruce-Fir-Hardwood Forest - Coastal",1624,0.27451,202453,2,384.4987376
"11","All Fire","13660_51_63_64_65_66",0.0064298,"Laurentian-Acadian Pine-Hemlock-Hardwood Forest",1625,0.388235,826253,8.2,5312.6415394
"12","All Fire","14071_41_50_51",0.227989,"Laurentian Pine-Oak Barrens",1628,0,888773,8.8,202630.467497
"13","All Fire","14072_41_50_51",0.118221,"Laurentian Pine-Oak Barrens - Jack Pine",1629,0.392157,100312,1,11858.984952
"14","All Fire","14110_49_51_52",0.0410286,"Great Lakes Wet-Mesic Lakeplain Prairie",1630,0,18406,0.2,755.1724116
"15","All Fire","14440_41_50_51",0.0049654,"Eastern Boreal Floodplain",1633,0.611765,28287,0.3,140.4562698
"16","All Fire","14660_50_51",0.0021454,"Great Lakes Wooded Dune and Swale",1634,0,9045,0.1,19.405143
"17","All Fire","14710_51_62",0.01687,"Central Interior and Appalachian Floodplain Systems",1635,0.690196,85860,0.8,1448.4582
"18","All Fire","14750_41_50_51_63_64_65_66",0.0170888,"Laurentian-Acadian Floodplain Systems",1636,0.960784,155060,1.5,2649.789328
"19","All Fire","14770_40_41_50_51",0.0096418,"Boreal Acidic Peatland Systems",1637,0.541176,132978,1.3,1282.1472804
"20","All Fire","14790_41_42_47_48_50_51_53",0.0009708,"Central Interior and Appalachian Swamp Systems",1638,1,20029,0.2,19.4441532
"21","All Fire","14810_41_50_51_63",0.000999,"Laurentian-Acadian Alkaline Conifer-Hardwood Swamp",1639,1,1602430,15.9,1600.82757
"22","All Fire","14940_41_50_51",0.0564512,"Laurentian-Acadian Shrub-Herbaceous Wetland Systems",1641,0.419608,501,0,28.2820512
"23","All Transitions","13022_41_50_51",0.0017866,"Laurentian-Acadian Northern Hardwoods Forest - Hemlock",1614,0,3235466,32,5780.4835556
"24","All Transitions","13022_41_50_51",0.0017866,"Laurentian-Acadian Northern Hardwoods Forest - Hemlock",1615,0.588235,481063,4.8,859.4671558
"25","All Transitions","13100_51",0.1164306,"North-Central Interior Dry-Mesic Oak Forest and Woodland",1617,0.870588,38448,0.4,4476.5237088
