"","VALUE","Freq","CLASSNAMES","R","G","B","RED","GREEN","BLUE","ACRES","REL_PERCENT"
"1",11,1663441,"Open Water",0,0,255,0,0,1,369940,3.5
"2",13,407797,"Developed-Upland Deciduous Forest",64,61,168,0.25098,0.239216,0.658824,90692,0.9
"3",14,257055,"Developed-Upland Evergreen Forest",68,79,137,0.266667,0.309804,0.537255,57168,0.5
"4",15,154282,"Developed-Upland Mixed Forest",102,119,205,0.4,0.466667,0.803922,34311,0.3
"5",16,409877,"Developed-Upland Herbaceous",122,142,245,0.478431,0.556863,0.960784,91154,0.9
"6",17,140518,"Developed-Upland Shrubland",158,170,215,0.619608,0.666667,0.843137,31250,0.3
"7",22,525775,"Developed - Low Intensity",255,122,143,1,0.478431,0.560784,116930,1.1
"8",23,210836,"Developed - Medium Intensity",253,44,79,0.992157,0.172549,0.309804,46889,0.4
"9",24,93636,"Developed - High Intensity",173,0,28,0.678431,0,0.109804,20824,0.2
"10",25,2000543,"Developed-Roads",1,1,1,0.003921,0.003921,0.003921,444910,4.2
"11",31,45850,"Barren",191,191,191,0.74902,0.74902,0.74902,10197,0.1
"12",32,41598,"Quarries-Strip Mines-Gravel Pits-Well and Wind Pads",230,232,250,0.901961,0.909804,0.980392,9251,0.1
"13",61,3685,"NASS-Vineyard",168,0,132,0.658824,0,0.517647,820,0
"14",63,253754,"NASS-Row Crop-Close Grown Crop",255,245,140,1,0.960784,0.54902,56434,0.5
"15",64,2913628,"NASS-Row Crop",250,255,119,0.980392,1,0.466667,647975,6.2
"16",65,1488034,"NASS-Close Grown Crop",255,237,119,1,0.929412,0.466667,330931,3.2
"17",68,251951,"NASS-Wheat",250,227,163,0.980392,0.890196,0.639216,56033,0.5
"18",69,410,"NASS-Aquaculture",210,255,237,0.823529,1,0.929412,91,0
"19",101,3,"Tree Height = 1 meter",204,255,153,0.8,1,0.6,1,0
"20",102,25,"Tree Height = 2 meters",199,250,147,0.780392,0.980392,0.576471,6,0
"21",103,4433,"Tree Height = 3 meters",192,245,142,0.752941,0.960784,0.556863,986,0
"22",104,534,"Tree Height = 4 meters",188,242,138,0.737255,0.94902,0.541176,119,0
"23",105,1465,"Tree Height = 5 meters",181,237,133,0.709804,0.929412,0.521569,326,0
"24",106,4079,"Tree Height = 6 meters",178,235,129,0.698039,0.921569,0.505882,907,0
"25",107,14642,"Tree Height = 7 meters",171,230,124,0.670588,0.901961,0.486275,3256,0
"26",108,262211,"Tree Height = 8 meters",168,227,120,0.658824,0.890196,0.470588,58314,0.6
"27",109,153323,"Tree Height = 9 meters",160,222,113,0.627451,0.870588,0.443137,34098,0.3
"28",110,514062,"Tree Height = 10 meters",155,219,110,0.607843,0.858824,0.431373,114325,1.1
"29",111,797421,"Tree Height = 11 meters",150,214,105,0.588235,0.839216,0.411765,177342,1.7
"30",112,1316328,"Tree Height = 12 meters",146,212,102,0.572549,0.831373,0.4,292744,2.8
"31",113,1840182,"Tree Height = 13 meters",141,207,97,0.552941,0.811765,0.380392,409247,3.9
"32",114,2317789,"Tree Height = 14 meters",136,204,94,0.533333,0.8,0.368627,515464,4.9
"33",115,2791716,"Tree Height = 15 meters",131,199,90,0.513725,0.780392,0.352941,620863,5.9
"34",116,3188714,"Tree Height = 16 meters",127,196,86,0.498039,0.768627,0.337255,709153,6.8
"35",117,3291628,"Tree Height = 17 meters",119,191,80,0.466667,0.74902,0.313725,732040,7
"36",118,5851886,"Tree Height = 18 meters",116,189,77,0.454902,0.741176,0.301961,1301428,12.4
"37",119,2946332,"Tree Height = 19 meters",110,184,73,0.431373,0.721569,0.286275,655248,6.3
"38",120,2184008,"Tree Height = 20 meters",107,181,71,0.419608,0.709804,0.278431,485712,4.6
"39",121,2044980,"Tree Height = 21 meters",101,176,67,0.396078,0.690196,0.262745,454793,4.3
"40",122,1098412,"Tree Height = 22 meters",99,173,64,0.388235,0.678431,0.25098,244281,2.3
"41",123,913685,"Tree Height = 23 meters",93,168,61,0.364706,0.658824,0.239216,203199,1.9
"42",124,1021007,"Tree Height = 24 meters",87,166,56,0.341176,0.65098,0.219608,227066,2.2
"43",203,985,"Shrub Height = 0.3 meter",209,166,117,0.819608,0.65098,0.458824,219,0
"44",204,1007,"Shrub Height = 0.4 meter",209,161,113,0.819608,0.631373,0.443137,224,0
"45",205,3778,"Shrub Height = 0.5 meter",207,155,109,0.811765,0.607843,0.427451,840,0
"46",206,9689,"Shrub Height = 0.6 meter",207,149,105,0.811765,0.584314,0.411765,2155,0
"47",207,7276,"Shrub Height = 0.7 meter",204,145,102,0.8,0.568627,0.4,1618,0
"48",208,68969,"Shrub Height = 0.8 meter",201,137,97,0.788235,0.537255,0.380392,15338,0.1
"49",209,8626,"Shrub Height = 0.9 meter",201,134,95,0.788235,0.52549,0.372549,1918,0
"50",210,11521,"Shrub Height = 1 meter",199,126,90,0.780392,0.494118,0.352941,2562,0
"51",211,7782,"Shrub Height = 1.1 meters",196,121,86,0.768627,0.47451,0.337255,1731,0
"52",212,11364,"Shrub Height = 1.2 meters",196,115,82,0.768627,0.45098,0.321569,2527,0
"53",213,10377,"Shrub Height = 1.3 meters",194,110,79,0.760784,0.431373,0.309804,2308,0
"54",214,15138,"Shrub Height = 1.4 meters",191,105,77,0.74902,0.411765,0.301961,3367,0
"55",215,14997,"Shrub Height = 1.5 meters",191,100,73,0.74902,0.392157,0.286275,3335,0
"56",216,22327,"Shrub Height = 1.6 meters",189,94,70,0.741176,0.368627,0.27451,4965,0
"57",217,22220,"Shrub Height = 1.7 meters",186,89,67,0.729412,0.34902,0.262745,4942,0
"58",218,30875,"Shrub Height = 1.8 meters",184,83,62,0.721569,0.32549,0.243137,6866,0.1
"59",219,26643,"Shrub Height = 1.9 meters",184,79,61,0.721569,0.309804,0.239216,5925,0.1
"60",220,33106,"Shrub Height = 2.0 meters",181,72,58,0.709804,0.282353,0.227451,7363,0.1
"61",221,18161,"Shrub Height = 2.1 meters",179,68,55,0.701961,0.266667,0.215686,4039,0
"62",222,14155,"Shrub Height = 2.2 meters",176,61,51,0.690196,0.239216,0.2,3148,0
"63",223,7259,"Shrub Height = 2.3 meters",173,57,49,0.678431,0.223529,0.192157,1614,0
"64",224,6125,"Shrub Height = 2.4 meters",173,51,47,0.678431,0.2,0.184314,1362,0
"65",225,2336,"Shrub Height = 2.5 meters",171,47,44,0.670588,0.184314,0.172549,520,0
"66",226,2826,"Shrub Height = 2.6 meters",168,39,41,0.658824,0.152941,0.160784,628,0
"67",227,486,"Shrub Height = 2.7 meters",166,33,40,0.65098,0.129412,0.156863,108,0
"68",228,1077,"Shrub Height = 2.8 meters",163,26,38,0.639216,0.101961,0.14902,240,0
"69",229,468,"Shrub Height = 2.9 meters",161,18,34,0.631373,0.070588,0.133333,104,0
"70",230,55,"Shrub Height >= 3.0 meters",158,0,32,0.619608,0,0.12549,12,0
"71",301,35568,"Herb Height = 0.1 meter",255,204,102,1,0.8,0.4,7910,0.1
"72",302,15596,"Herb Height = 0.2 meter",255,186,89,1,0.729412,0.34902,3468,0
"73",303,1284232,"Herb Height = 0.3 meter",255,169,77,1,0.662745,0.301961,285606,2.7
"74",304,1392,"Herb Height = 0.4 meter",255,150,64,1,0.588235,0.25098,310,0
"75",305,9297,"Herb Height = 0.5 meter",255,133,51,1,0.521569,0.2,2068,0
"76",306,124951,"Herb Height = 0.6 meter",255,112,41,1,0.439216,0.160784,27788,0.3
"77",307,332707,"Herb Height = 0.7 meter",255,92,28,1,0.360784,0.109804,73992,0.7
"78",308,622427,"Herb Height = 0.8 meter",255,73,18,1,0.286275,0.070588,138424,1.3
"79",309,464051,"Herb Height = 0.9 meter",255,51,0,1,0.2,0,103202,1
"80",310,465993,"Herb Height >= 1 meter",255,51,0,1,0.2,0,103634,1
